Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,Educational Option Type,NSLP Provision Status,Charter School,Charter Number,Charter Funding Type,IRC,Low Grade,High Grade,total_enrolled,frpm,foster,homeless,migrant,direct_cert,unduplicated_frpm,english_learner,CALPADS Unduplicated Pupil Count (UPC),CALPADS Fall 1 Certification Status (Y/N)
2018-2019,33,67082,0116962,Riverside,Hemet Unified,Rancho Viejo Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,"1,291","1,013",,,,,,,,
2018-2019,33,67082,0120675,Riverside,Hemet Unified,Western Center Academy,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,1144,Locally funded,N,6,12,678,190,,,,,,,,
2018-2019,33,67082,0132167,Riverside,Hemet Unified,ASPIRE Community Day,Unified School District,District Community Day Schools,Community Day School,CEP,No ,N/A,N/A,N,7,12,73,65,,,,,,,,
2018-2019,33,67082,0135251,Riverside,Hemet Unified,Hemet Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,813,696,,,,,,,,
2018-2019,33,67082,3330065,Riverside,Hemet Unified,Alessandro High,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,329,267,,,,,,,,
2018-2019,33,67082,3330503,Riverside,Hemet Unified,Helen Hunt Jackson College Prep High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,CEP,No ,N/A,N/A,N,9,12,282,203,,,,,,,,
2018-2019,33,67082,3330537,Riverside,Hemet Unified,West Valley High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"1,797","1,307",,,,,,,,
2018-2019,33,67082,3332673,Riverside,Hemet Unified,Hemet High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,489","1,477",,,,,,,,
2018-2019,33,67082,6032080,Riverside,Hemet Unified,Cottonwood Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,209,128,,,,,,,,
2018-2019,33,67082,6032114,Riverside,Hemet Unified,Idyllwild Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,327,161,,,,,,,,
2018-2019,33,67082,6032122,Riverside,Hemet Unified,Little Lake Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,756,544,,,,,,,,
2018-2019,33,67082,6032130,Riverside,Hemet Unified,Ramona Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,624,532,,,,,,,,
2018-2019,33,67082,6032148,Riverside,Hemet Unified,Whittier Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,798,667,,,,,,,,
2018-2019,33,67082,6032155,Riverside,Hemet Unified,Winchester Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,475,375,,,,,,,,
2018-2019,33,67082,6084628,Riverside,Hemet Unified,Acacia Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,811,671,,,,,,,,
2018-2019,33,67082,6106728,Riverside,Hemet Unified,Valle Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,727,525,,,,,,,,
2018-2019,33,67082,6109805,Riverside,Hemet Unified,Fruitvale Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,809,623,,,,,,,,
2018-2019,33,67082,6110415,Riverside,Hemet Unified,Bautista Creek Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,969,646,,,,,,,,
2018-2019,33,67082,6112007,Riverside,Hemet Unified,Dartmouth Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,"1,136",730,,,,,,,,
2018-2019,33,67082,6118731,Riverside,Hemet Unified,Jacob Wiens Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,735,667,,,,,,,,
2018-2019,33,67090,0000001,Riverside,Jurupa Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63,38,,,,,,,,
2018-2019,33,67090,0114157,Riverside,Jurupa Unified,Patriot High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,421","1,359",,,,,,,,
2018-2019,33,67090,0127720,Riverside,Jurupa Unified,Rivercrest Preparatory,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,12,123,71,,,,,,,,
2018-2019,33,67090,0136721,Riverside,Jurupa Unified,Del Sol Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,991,518,,,,,,,,
2018-2019,33,67090,3330412,Riverside,Jurupa Unified,Jurupa Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,671","1,078",,,,,,,,
2018-2019,33,67090,3334687,Riverside,Jurupa Unified,Nueva Vista Continuation High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,217,138,,,,,,,,
2018-2019,33,67090,3337136,Riverside,Jurupa Unified,Rubidoux High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,546","1,067",,,,,,,,
2018-2019,33,67090,6032163,Riverside,Jurupa Unified,Glen Avon Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,541,389,,,,,,,,
2018-2019,33,67090,6032171,Riverside,Jurupa Unified,Ina Arbuckle Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,504,428,,,,,,,,
2018-2019,33,67090,6032189,Riverside,Jurupa Unified,Mission Bell Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,380,316,,,,,,,,
2018-2019,33,67090,6032197,Riverside,Jurupa Unified,Pacific Avenue Academy of Music,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,350,238,,,,,,,,
2018-2019,33,67090,6032205,Riverside,Jurupa Unified,Pedley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,650,455,,,,,,,,
2018-2019,33,67090,6032213,Riverside,Jurupa Unified,Rustic Lane Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,636,510,,,,,,,,
2018-2019,33,67090,6032221,Riverside,Jurupa Unified,Troth Street Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,727,552,,,,,,,,
2018-2019,33,67090,6032239,Riverside,Jurupa Unified,Van Buren Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,579,413,,,,,,,,
2018-2019,33,67090,6032247,Riverside,Jurupa Unified,West Riverside Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,680,578,,,,,,,,
2018-2019,33,67090,6059075,Riverside,Jurupa Unified,Jurupa Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,"1,230",760,,,,,,,,
2018-2019,33,67090,6061774,Riverside,Jurupa Unified,Mission Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,810,649,,,,,,,,
2018-2019,33,67090,6104491,Riverside,Jurupa Unified,Sky Country Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,435,242,,,,,,,,
2018-2019,33,67090,6105837,Riverside,Jurupa Unified,Indian Hills Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,580,328,,,,,,,,
2018-2019,33,67090,6106835,Riverside,Jurupa Unified,Camino Real Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,804,343,,,,,,,,
2018-2019,33,67090,6106843,Riverside,Jurupa Unified,Sunnyslope Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,852,560,,,,,,,,
2018-2019,33,67090,6110548,Riverside,Jurupa Unified,Granite Hill Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,556,418,,,,,,,,
2018-2019,33,67090,6111280,Riverside,Jurupa Unified,Stone Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,726,463,,,,,,,,
2018-2019,33,67090,6112858,Riverside,Jurupa Unified,Mira Loma Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,722,491,,,,,,,,
2018-2019,33,67090,6113518,Riverside,Jurupa Unified,Peralta Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,550,370,,,,,,,,
2018-2019,33,67116,0000001,Riverside,Menifee Union Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,3,,,,,,,,
2018-2019,33,67116,0100503,Riverside,Menifee Union Elementary,Freedom Crest Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,716,328,,,,,,,,
2018-2019,33,67116,0108639,Riverside,Menifee Union Elementary,Oak Meadows Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,884,239,,,,,,,,
2018-2019,33,67116,0109843,Riverside,Menifee Union Elementary,Santa Rosa Academy,Elementary School District,K-12 Schools (Public),Traditional,N/A,Yes,0730,Directly funded,Y,K,12,"1,556",314,,,,,,,,
2018-2019,33,67116,0110601,Riverside,Menifee Union Elementary,Evans Ranch Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,662,279,,,,,,,,
2018-2019,33,67116,0116749,Riverside,Menifee Union Elementary,Southshore Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,807,208,,,,,,,,
2018-2019,33,67116,0116756,Riverside,Menifee Union Elementary,Quail Valley Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,517,348,,,,,,,,
2018-2019,33,67116,0119206,Riverside,Menifee Union Elementary,Hans Christensen Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,780,425,,,,,,,,
2018-2019,33,67116,0125906,Riverside,Menifee Union Elementary,Herk Bouris Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,756,243,,,,,,,,
2018-2019,33,67116,0134080,Riverside,Menifee Union Elementary,Harvest Hill S.T.E.A.M. Academy,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,741,200,,,,,,,,
2018-2019,33,67116,0136838,Riverside,Menifee Union Elementary,Taawila Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,281,64,,,,,,,,
2018-2019,33,67116,6107197,Riverside,Menifee Union Elementary,Menifee Valley Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,"1,192",454,,,,,,,,
2018-2019,33,67116,6108229,Riverside,Menifee Union Elementary,Chester W. Morrison Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,408,148,,,,,,,,
2018-2019,33,67116,6110365,Riverside,Menifee Union Elementary,Callie Kirkpatrick Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,723,236,,,,,,,,
2018-2019,33,67116,6113864,Riverside,Menifee Union Elementary,Ridgemoor Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,710,280,,,,,,,,
2018-2019,33,67116,6119721,Riverside,Menifee Union Elementary,Bell Mountain Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,"1,204",404,,,,,,,,
2018-2019,33,67124,0000001,Riverside,Moreno Valley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38,15,,,,,,,,
2018-2019,33,67124,0102731,Riverside,Moreno Valley Unified,TownGate Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,739,548,,,,,,,,
2018-2019,33,67124,0105940,Riverside,Moreno Valley Unified,Alessandro,Unified School District,Special Education Schools (Public),Special Education School,CEP,No ,N/A,N/A,N,K,12,50,42,,,,,,,,
2018-2019,33,67124,0108134,Riverside,Moreno Valley Unified,La Jolla Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,740,516,,,,,,,,
2018-2019,33,67124,0128868,Riverside,Moreno Valley Unified,Moreno Valley Online Academy,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,172,123,,,,,,,,
2018-2019,33,67124,3330396,Riverside,Moreno Valley Unified,Canyon Springs High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,173","1,364",,,,,,,,
2018-2019,33,67124,3330438,Riverside,Moreno Valley Unified,Valley View High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,573","1,491",,,,,,,,
2018-2019,33,67124,3330685,Riverside,Moreno Valley Unified,Moreno Valley Community Learning Center,Unified School District,High Schools (Public),Traditional,N/A,Yes,0055,Locally funded,N,7,12,27,23,,,,,,,,
2018-2019,33,67124,3330800,Riverside,Moreno Valley Unified,Bayside Community Day,Unified School District,District Community Day Schools,Community Day School,CEP,No ,N/A,N/A,N,9,12,135,107,,,,,,,,
2018-2019,33,67124,3330958,Riverside,Moreno Valley Unified,March Valley,Unified School District,Opportunity Schools,Opportunity School,N/A,No ,N/A,N/A,N,9,10,87,74,,,,,,,,
2018-2019,33,67124,3331071,Riverside,Moreno Valley Unified,Vista del Lago High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,118","1,537",,,,,,,,
2018-2019,33,67124,3333762,Riverside,Moreno Valley Unified,March Mountain High,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,334,259,,,,,,,,
2018-2019,33,67124,3333770,Riverside,Moreno Valley Unified,Moreno Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,327","1,839",,,,,,,,
2018-2019,33,67124,6032288,Riverside,Moreno Valley Unified,Armada Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,857,700,,,,,,,,
2018-2019,33,67124,6032304,Riverside,Moreno Valley Unified,Edgemont Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,663,610,,,,,,,,
2018-2019,33,67124,6032312,Riverside,Moreno Valley Unified,Midland Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,646,511,,,,,,,,
2018-2019,33,67124,6032320,Riverside,Moreno Valley Unified,Moreno Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,483,293,,,,,,,,
2018-2019,33,67124,6032338,Riverside,Moreno Valley Unified,Sunnymead Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,794,676,,,,,,,,
2018-2019,33,67124,6103501,Riverside,Moreno Valley Unified,Butterfield Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,892,706,,,,,,,,
2018-2019,33,67124,6103519,Riverside,Moreno Valley Unified,Sunnymeadows Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,625,485,,,,,,,,
2018-2019,33,67124,6104582,Riverside,Moreno Valley Unified,Ramona Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,658,536,,,,,,,,
2018-2019,33,67124,6105514,Riverside,Moreno Valley Unified,Honey Hollow Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,620,477,,,,,,,,
2018-2019,33,67124,6106041,Riverside,Moreno Valley Unified,Serrano Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,520,415,,,,,,,,
2018-2019,33,67124,6106058,Riverside,Moreno Valley Unified,Vista Heights Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,"1,331",899,,,,,,,,
2018-2019,33,67124,6106066,Riverside,Moreno Valley Unified,Sugar Hill Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,543,358,,,,,,,,
2018-2019,33,67124,6106942,Riverside,Moreno Valley Unified,Creekside Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,502,410,,,,,,,,
2018-2019,33,67124,6106967,Riverside,Moreno Valley Unified,Chaparral Hills Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,663,527,,,,,,,,
2018-2019,33,67124,6107080,Riverside,Moreno Valley Unified,Cloverdale Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,723,535,,,,,,,,
2018-2019,33,67124,6107643,Riverside,Moreno Valley Unified,Mountain View Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,"1,338",883,,,,,,,,
2018-2019,33,67124,6107890,Riverside,Moreno Valley Unified,Bear Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,839,587,,,,,,,,
2018-2019,33,67124,6108674,Riverside,Moreno Valley Unified,Badger Springs Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,"1,186","1,011",,,,,,,,
2018-2019,33,67124,6108690,Riverside,Moreno Valley Unified,Sunnymead Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,"1,505","1,222",,,,,,,,
2018-2019,33,67124,6108716,Riverside,Moreno Valley Unified,Box Springs Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,449,334,,,,,,,,
2018-2019,33,67124,6108724,Riverside,Moreno Valley Unified,Hendrick Ranch Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,639,519,,,,,,,,
2018-2019,33,67124,6108732,Riverside,Moreno Valley Unified,Hidden Springs Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,565,359,,,,,,,,
2018-2019,33,67124,6109110,Riverside,Moreno Valley Unified,North Ridge Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,747,359,,,,,,,,
2018-2019,33,67124,6109508,Riverside,Moreno Valley Unified,Ridge Crest Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,601,364,,,,,,,,
2018-2019,33,67124,6109979,Riverside,Moreno Valley Unified,Landmark Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,"1,160",811,,,,,,,,
2018-2019,33,67124,6110027,Riverside,Moreno Valley Unified,Palm Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,"1,245",842,,,,,,,,
2018-2019,33,67124,6110928,Riverside,Moreno Valley Unified,Seneca Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,456,329,,,,,,,,
2018-2019,33,67157,3331014,Riverside,Nuview Union ,Nuview Bridge Early College High,Elementary School District,High Schools (Public),Traditional,N/A,Yes,0368,Locally funded,N,9,12,632,307,,,,,,,,
2018-2019,33,67157,6032353,Riverside,Nuview Union ,Nuview Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,627,464,,,,,,,,
2018-2019,33,67157,6109334,Riverside,Nuview Union ,Mountain Shadows Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,380,238,,,,,,,,
2018-2019,33,67157,6111488,Riverside,Nuview Union ,Valley View Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,546,354,,,,,,,,
2018-2019,33,67173,0000001,Riverside,Palm Springs Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,4,,,,,,,,
2018-2019,33,67173,0105767,Riverside,Palm Springs Unified,Rio Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,716,474,,,,,,,,
2018-2019,33,67173,0118943,Riverside,Palm Springs Unified,Cabot Yerxa Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,701,643,,,,,,,,
2018-2019,33,67173,0123703,Riverside,Palm Springs Unified,Painted Hills Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,819,736,,,,,,,,
2018-2019,33,67173,0127316,Riverside,Palm Springs Unified,Rancho Mirage High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"1,570",986,,,,,,,,
2018-2019,33,67173,0133090,Riverside,Palm Springs Unified,Desert Learning Academy,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,218,138,,,,,,,,
2018-2019,33,67173,3330578,Riverside,Palm Springs Unified,Cathedral City High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"1,660","1,279",,,,,,,,
2018-2019,33,67173,3330818,Riverside,Palm Springs Unified,Desert Hot Springs High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"1,770","1,386",,,,,,,,
2018-2019,33,67173,3331121,Riverside,Palm Springs Unified,Mt. San Jacinto High,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,300,253,,,,,,,,
2018-2019,33,67173,3335130,Riverside,Palm Springs Unified,Palm Springs High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,"1,659","1,116",,,,,,,,
2018-2019,33,67173,6032387,Riverside,Palm Springs Unified,Agua Caliente Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,541,478,,,,,,,,
2018-2019,33,67173,6032395,Riverside,Palm Springs Unified,Cahuilla Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,525,446,,,,,,,,
2018-2019,33,67173,6032403,Riverside,Palm Springs Unified,Cathedral City Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,667,589,,,,,,,,
2018-2019,33,67173,6032411,Riverside,Palm Springs Unified,Cielo Vista Charter,Unified School District,Elementary Schools (Public),Traditional,CEP,Yes,1173,Locally funded,N,K,8,900,562,,,,,,,,
2018-2019,33,67173,6032429,Riverside,Palm Springs Unified,Bella Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,765,657,,,,,,,,
2018-2019,33,67173,6032437,Riverside,Palm Springs Unified,Katherine Finchy Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,655,455,,,,,,,,
2018-2019,33,67173,6032445,Riverside,Palm Springs Unified,Rancho Mirage Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,438,316,,,,,,,,
2018-2019,33,67173,6032452,Riverside,Palm Springs Unified,Vista del Monte Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,545,452,,,,,,,,
2018-2019,33,67173,6059091,Riverside,Palm Springs Unified,Nellie N. Coffman Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,"1,094",951,,,,,,,,
2018-2019,33,67173,6059109,Riverside,Palm Springs Unified,Raymond Cree Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,855,655,,,,,,,,
2018-2019,33,67173,6102560,Riverside,Palm Springs Unified,Julius Corsini Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,444,400,,,,,,,,
2018-2019,33,67173,6106207,Riverside,Palm Springs Unified,Della S. Lindley Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,595,467,,,,,,,,
2018-2019,33,67173,6107601,Riverside,Palm Springs Unified,Landau Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,741,594,,,,,,,,
2018-2019,33,67173,6108443,Riverside,Palm Springs Unified,Desert Springs Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,965,865,,,,,,,,
2018-2019,33,67173,6108450,Riverside,Palm Springs Unified,Sunny Sands Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,726,549,,,,,,,,
2018-2019,33,67173,6111025,Riverside,Palm Springs Unified,Bubbling Wells Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,712,601,,,,,,,,
2018-2019,33,67173,6112692,Riverside,Palm Springs Unified,James Workman Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,"1,298",874,,,,,,,,
2018-2019,33,67173,6115448,Riverside,Palm Springs Unified,Two Bunch Palms Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,807,706,,,,,,,,
2018-2019,33,67181,0138610,Riverside,Palo Verde Unified,Scale Leadership Academy - East,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,2019,Directly funded,Y,K,12,65,32,,,,,,,,
2018-2019,33,67181,3331139,Riverside,Palo Verde Unified,Twin Palms Continuation,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,85,66,,,,,,,,
2018-2019,33,67181,3335759,Riverside,Palo Verde Unified,Palo Verde High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,843,518,,,,,,,,
2018-2019,33,67181,6032460,Riverside,Palo Verde Unified,Felix J. Appleby Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,8,726,544,,,,,,,,
2018-2019,33,67181,6032478,Riverside,Palo Verde Unified,Margaret White Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,8,641,425,,,,,,,,
2018-2019,33,67181,6032494,Riverside,Palo Verde Unified,Ruth Brown Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,8,658,458,,,,,,,,
2018-2019,33,67199,0110577,Riverside,Perris Elementary,Railway Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,829,656,,,,,,,,
2018-2019,33,67199,0110585,Riverside,Perris Elementary,Sky View Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,666,538,,,,,,,,
