state,District Code,District Name,School Code,School Name,individual_isp,proxy_isp,participating_in_cep,claiming_isp,total_enrolled,total_eligible
oh,052522,Cleveland Catholic Diocese,00057067,St Mary,54.55%,,61.58%,Y,176,96
oh,054171,Mayfair Christian School,00054171,Mayfair Christian School,59.09%,,59.09%,Y,88,52
oh,054361,Holy Family,00054361,Holy Family,40.37%,,54.25%,Y,218,88
oh,054635,Resurrection Ele Sch,00054635,Resurrection Ele Sch,53.59%,,62.50%,Y,181,97
oh,054692,St Albert The Great,00054429,Immaculate Conception,42.42%,,43.06%,Y,231,98
oh,054692,St Albert The Great,00054544,Our Lady Of Rosary,46.15%,,43.06%,Y,195,90
oh,054726,St Aloysius Educational Center,00083253,St Aloysius-Cambridge Program,54.05%,,62.50%,Y,37,20
oh,054726,St Aloysius Educational Center,20058654,St. Aloysius Educational Center,65.65%,,62.50%,Y,131,86
oh,054999,St Francis Desales,00054999,St Francis Desales,42.79%,,47.11%,Y,208,89
oh,055012,St Francis Seraph,00055012,St Francis Seraph,63.01%,,62.50%,Y,173,109
oh,055228,St Lawrence,00055228,St Lawrence,50.57%,,50.57%,Y,348,176
oh,058693,CCMT Catholic School,00058693,CCMT Catholic-Rosary Cathedral,55.90%,,60.43%,Y,195,109
oh,058693,CCMT Catholic School,20058586,"CCMT School, Queen of Apostles Campus Annex",65.52%,,60.43%,Y,174,114
oh,059717,St. Peter,00059717,St Peter,44.93%,,51.02%,Y,138,62
oh,059733,Our Lady Of Peace,00059733,Our Lady Of Peace,56.38%,,58.42%,Y,188,106
oh,060004,St Nicholas,00060004,St Nicholas,67.42%,,62.50%,Y,178,120
oh,062067,Gallia-Jackson-Vinton Jt Voc SD,00062075,Buckeye Hills Career Center,45.45%,,45.45%,Y,440,200
oh,065003,Heritage Christian,00065003,Heritage Christian,47.27%,,56.34%,Y,330,156
oh,065680,Gallia County,00019364,River Valley High School,38.90%,,47.03%,Y,419,163
oh,065680,Gallia County,00015081,Hannan Trace Elementary School,45.16%,,47.03%,Y,217,98
oh,065680,Gallia County,00002683,River Valley Middle School,46.61%,,47.03%,Y,369,172
oh,065680,Gallia County,00000141,Addaville Elementary School,46.20%,,47.03%,Y,342,158
oh,065680,Gallia County,00011708,South Gallia Middle School,49.26%,,47.03%,Y,136,67
oh,065680,Gallia County,00015099,South Gallia High School,48.99%,,47.03%,Y,149,73
oh,065680,Gallia County,00004515,Southwestern Elementary School,53.38%,,47.03%,Y,148,79
oh,065680,Gallia County,00038489,Vinton Elementary School,57.34%,,47.03%,Y,361,207
oh,066068,Jefferson County Board of DD,00066068,Jefferson County Board of DD,46.58%,,39.73%,Y,73,34
oh,066274,Washington Co Bd Of DD,00096651,Ewing Voc Sch,41.90%,,41.90%,Y,105,44
oh,066357,Muskingum County Board of DD,00066357,Muskingum County Board of DD,50.00%,,50.00%,Y,78,39
oh,070656,Springfield Christian School,00070656,Springfield Christian School,53.60%,,53.60%,Y,125,67
oh,071472,Lawrence County Board of DD,00071480,Open Door School,46.03%,,44.44%,Y,63,29
oh,083618,The Childrens Home-District,00083626,The Childrens Home School,47.19%,,53.57%,Y,178,84
oh,085662,Meigs County Board of DD,00085928,Carleton School,43.48%,,43.48%,Y,46,20
oh,086678,Yeshiva Derech Hatorah,00017030,Yeshiva Derech Hatorah High School,38.71%,,41.56%,Y,93,36
oh,086678,Yeshiva Derech Hatorah,00086678,Yeshiva Derech Hatorah,40.81%,,41.56%,Y,272,111
oh,086678,Yeshiva Derech Hatorah,00119388,Yeshiva Derech Hatorah-S Taylor,43.51%,,41.56%,Y,239,104
oh,120865,Emmanuel Christian Academy,00120865,Emmanuel Christian Academy,44.94%,,44.94%,Y,247,111
oh,125260,Gloria S Friend Christian Acad,00125260,Gloria S Friend Christian Acad,54.17%,,54.17%,Y,48,26
oh,132746,Summit Acdy Comm Schl for Alternative Learners of Middletown,00132746,Summit Acdy for Alternative Learners Middletown,51.11%,,41.33%,Y,90,46
oh,132761,Summit Academy-Xenia,00132761,Summit Academy-Xenia,40.31%,,40.31%,Y,196,79
oh,132779,Summit Academy Middle School-Akron,00132779,Summit Academy Middle School-Akron,52.38%,,51.61%,Y,42,22
oh,132944,Miami Valley Academy,00132944,Miami Valley Academy,75.73%,,62.50%,Y,103,78
oh,132951,Constellation Schools Lorain Community ,00132951,Lorain Community School,55.87%,,55.87%,Y,179,100
oh,133215,"Intergenerational School, The",00133215,"Intergenerational School, The",40.00%,,41.22%,Y,245,98
oh,133264,Dohn Community High School,00133264,Dohn Community High School,30.71%,,62.50%,Y,1270,390
oh,133280,Washington Park Community,00133280,Washington Park Community,74.19%,,62.50%,Y,186,138
oh,133306,Summit Academy-Canton,00133306,Summit Academy-Canton,56.69%,,56.64%,Y,127,72
oh,133322,Summit Academy-Lorain,00133322,Summit Academy-Lorain,66.42%,,62.50%,Y,134,89
oh,133348,Richard Allen Preparatory,00133348,Richard Allen Preparatory,46.80%,,51.65%,Y,359,168
oh,133389,Lighthouse Community Sch Inc,00133389,Lighthouse Community Sch Inc,52.00%,,52.00%,Y,50,26
oh,133454,Dayton Leadership Academies-Dayton View Campus,00133454,Dayton View Campus,73.33%,,62.50%,Y,405,297
oh,133488,River Gate High School,00133488,River Gate High School,56.29%,,57.07%,Y,167,94
oh,133504,Phoenix Community Learning Ctr,00133504,Phoenix Community Learning Ctr,55.78%,,62.50%,Y,441,246
oh,133512,Cincinnati College Preparatory Academy,00133512,Cincinnati College Preparatory Academy,68.66%,,60.98%,Y,970,666
oh,133520,Citizens Academy,00133520,Citizens Academy,52.10%,,50.00%,Y,405,211
oh,133538,"Edge Academy, The",00133538,"Edge Academy, The",65.56%,,62.50%,Y,241,158
oh,133561,Millennium Community,00133561,Millennium Community,64.63%,,62.50%,Y,557,360
oh,133587,Summit Academy Community School for Alt Learners of Akron,00133587,Summit Academy Community School for Alt Learners of Akron,64.29%,,62.50%,Y,140,90
oh,133678,Riverside Academy,00133678,Riverside Academy,66.11%,,62.50%,Y,180,119
oh,133736,Richard Allen Academy,00133736,Richard Allen Academy,54.96%,,57.25%,Y,131,72
oh,133785,Queen City Career Prep High School,00133785,Queen City Career Prep High School,49.00%,,53.16%,Y,100,49
oh,133835,Invictus High School,20133835,Invictus Parma Heights Campus,80.65%,,56.60%,Y,124,100
oh,133835,Invictus High School,90133835,Invictus Lee Rd. Campus,85.57%,,56.60%,Y,201,172
oh,133835,Invictus High School,00133835,Invictus High School,83.05%,,56.60%,Y,118,98
oh,134072,Youngstown Community School,00134072,Youngstown Community School,66.08%,,62.50%,Y,339,224
oh,134213,Middlebury Academy,00134213,Middlebury Academy,69.59%,,62.50%,Y,217,151
oh,134247,City Day Community School,00134247,City Day Community School,100.00%,,62.50%,Y,159,159
oh,142901,Stark High School,00142901,Stark High School,59.46%,,56.76%,Y,111,66
oh,142919,Black River Career Prep High School,00142919,Black River Career Prep High School,78.32%,,54.24%,Y,143,112
oh,142943,Focus Learning Academy of Northern Columbus,00142943,Focus Learning Acad of Northern Columbus,51.80%,,62.50%,Y,500,259
oh,142968,Hope Northcoast Academy,00142968,Hope Northcoast Academy,65.85%,,62.50%,Y,287,189
oh,143172,International Acad Of Columbus,00143172,International Acad Of Columbus,52.80%,,60.00%,Y,286,151
oh,143198,Great Western Academy,00143198,Great Western Academy,56.05%,,51.64%,Y,769,431
oh,143206,Trotwood Fitness & Prep Acad,00143206,Trotwood Fitness & Prep Acad,54.04%,,54.04%,Y,322,174
oh,143214,Middletown Fitness & Prep Acad,00143214,Middletown Fitness & Prep Acad,48.46%,,58.85%,Y,260,126
oh,143313,West Preparatory Academy,00143313,West Preparatory Academy,68.22%,,62.50%,Y,129,88
oh,143479,Puritas Community School,00143479,Puritas Community School,50.25%,,56.19%,Y,201,101
oh,143487,Constellation Schools Stockyard ,00143487,Stockyard Community School,69.03%,,52.74%,Y,268,185
oh,143529,North Dayton School Of Science & Discovery,00143529,North Dayton School Of Science & Discovery,64.09%,,62.50%,Y,607,389
oh,143644,Sciotoville,00143644,Sciotoville High Sch,55.61%,,62.50%,Y,214,119
oh,143644,Sciotoville,00009964,Sciotoville Elementary Academy,77.93%,,62.50%,Y,145,113
oh,149302,Skyway Career Prep High School,00149302,Skyway Career Prep High School,60.83%,,62.50%,Y,120,73
oh,149328,Foxfire Center For Student Success,00149328,Foxfire Center For Student Success,70.98%,,62.50%,Y,410,291
oh,151183,Lake Erie International HS,00151183,Lake Erie International HS,67.18%,,50.41%,Y,262,176
